label,current_code,gdate,hdate,notes
01-H3-C-R8-,ACAM,,,
02-H3-C-R8-,ACWR,,,
03-H3-C-R8-,AMME,,,
04-H3-C-R8-,ANAR,,,
05-H3-C-R8-,BRMA,,,
06-H3-C-R8-,CEME,,,
07-H3-C-R8-,CHGL,,,
08-H3-C-R8-,CHPA,,,
09-H3-C-R8-,CLBO,,,
10-H3-C-R8-,CLPU,,,
11-H3-C-R8-,ERCI,,,
12-H3-C-R8-,EUSP,,,
13-H3-C-R8-,FEMI,,,
14-H3-C-R8-,HECO,,,
15-H3-C-R8-,HOMU,,,
16-H3-C-R8-,LACA,,,
17-H3-C-R8-,MEPO,,,
18-H3-C-R8-,MICA,,,
19-H3-C-R8-,NAAT,,,
20-H3-C-R8-,PLER,,,
21-H3-C-R8-,SACO,,,
22-H3-C-R8-,SIGA,,,
23-H3-C-R8-,URLI,,,
01-H4-C-R8-,ACAM,,,
02-H4-C-R8-,ACWR,,,
03-H4-C-R8-,AMME,,,
04-H4-C-R8-,ANAR,,,
05-H4-C-R8-,BRMA,,,
06-H4-C-R8-,CEME,,,
07-H4-C-R8-,CHGL,,,
08-H4-C-R8-,CHPA,,,
09-H4-C-R8-,CLBO,,,
10-H4-C-R8-,CLPU,,,
11-H4-C-R8-,ERCI,,,
12-H4-C-R8-,EUSP,,,
13-H4-C-R8-,FEMI,,,
14-H4-C-R8-,HECO,,,
15-H4-C-R8-,HOMU,,,
16-H4-C-R8-,LACA,,,
17-H4-C-R8-,MEPO,,,
18-H4-C-R8-,MICA,,,
19-H4-C-R8-,NAAT,,,
20-H4-C-R8-,PLER,,,
21-H4-C-R8-,SACO,,,
22-H4-C-R8-,SIGA,,,
23-H4-C-R8-,URLI,,,
01-H1-C-R9-,ACAM,,,
02-H1-C-R9-,ACWR,,,
03-H1-C-R9-,AMME,,,
04-H1-C-R9-,ANAR,,,
05-H1-C-R9-,BRMA,,,
06-H1-C-R9-,CEME,,,
07-H1-C-R9-,CHGL,,,
08-H1-C-R9-,CHPA,,,
09-H1-C-R9-,CLBO,,,
